CanonicalID,ObjectType,FieldName,ParentObject,DataType,Required,Cardinality,Vocabulary,DefaultValue,Description,Status,Version,Notes
DD000001,Performance,Title,Performance,String,Yes,1,,,Recording title,Active,1.0,
DD000002,Performance,Orchestra,Performance,Reference,Yes,1,Orchestra,,Performing orchestra,Active,1.0,
DD000003,Performance,Singer,Performance,Reference,No,0..n,Singer,,Vocal performer(s),Active,1.0,
DD000004,Performance,Composer,Performance,Reference,No,0..n,Composer,,Composer(s),Active,1.0,
DD000005,Performance,Lyricist,Performance,Reference,No,0..n,Lyricist,,Lyricist(s),Active,1.0,
DD000006,Performance,RecordingDate,Performance,Date,No,0..1,,,Recording date,Active,1.0,
DD000007,Performance,Genre,Performance,Enumeration,Yes,1,Genre,,Canonical musical genre,Active,1.0,
DD000008,Performance,Duration,Performance,Duration,Yes,1,,,Playing time (hh:mm:ss or seconds),Active,1.0,
DD000009,Performance,Source,Performance,Reference,Yes,1,SourceType,,Acquisition source or provenance,Active,1.0,
DD000010,Performance,MediaFormat,Performance,Enumeration,Yes,1,MediaFormat,,FLAC, MP3, WAV, etc.,Active,1.0,
DD000011,Performance,Language,Performance,Enumeration,No,1,Language,,Language of vocal performance,Active,1.0,
DD000012,Performance,RecordingLocation,Performance,Reference,No,0..1,Place,,Recording location,Active,1.0,
DD000013,Performance,CatalogNumber,Performance,String,No,0..1,,,Publisher catalog number,Active,1.0,
DD000014,Performance,FileChecksum,Performance,String,No,1,,,Cryptographic file fingerprint,Active,1.0,
DD000015,Performance,Comments,Performance,Text,No,0..1,,,General notes,Active,1.0,
