"Title","Artist","Collections","Recordings","Durations"
"Uno","An├¡bal Troilo / Alberto Marino","TangoSparks; TangoTimeTravel","4","0:03:20; 0:03:28; 0:03:35; 0:03:46"
"El chupete","An├¡bal Troilo / Instr.","TangoSparks; TangoTimeTravel","3","0:02:49; 0:02:53; 0:03:05"
"La cumparsita","An├¡bal Troilo / Instr.","TangoSparks; TangoTimeTravel","8","0:02:40; 0:02:50; 0:02:59; 0:03:09; 0:03:20; 0:03:21; 0:03:30"
"Champagne tango","Carlos Di Sarli / Instr.","TangoTimeTravel; TangoTunes","2","0:02:32; 0:02:49"
"El amanecer","Carlos Di Sarli / Instr.","TangoSparks; TangoTimeTravel","2","0:02:19; 0:02:28"
"El choclo","Carlos Di Sarli / Instr.","TangoSparks; TangoTimeTravel","4","0:02:32; 0:02:46; 0:02:50; 0:03:36"
"Sue├▒o de juventud","Carlos Di Sarli / Oscar Serpa","TangoTimeTravel; TangoTunes","3","0:02:18; 0:02:42; 0:03:22"
"A media luz","Edgardo Donato / Horacio Lagos","TangoSparks; TangoTimeTravel","2","0:02:36; 0:03:16"
"Tierra querida","Horacio Salg├ín / Instr.","TangoSparks; TangoTimeTravel","2","0:02:20; 0:03:53"
"Cambalache","Juan D'Arienzo / Alberto Echag├╝e","TangoTimeTravel; TangoTunes","2","0:02:56; 0:03:32"
"Nunca m├ís","Juan D'Arienzo / H├⌐ctor Maur├⌐","TangoTimeTravel; TangoTunes","2","0:02:46; 0:03:07"
"Sans souci","Juan D'Arienzo / Instr.","TangoSparks; TangoTimeTravel","2","0:02:30; 0:03:07"
"Entre dos","Miguel Cal├│ / Instr.","TangoSparks; TangoTimeTravel","2","0:03:16; 0:03:19"
"Snobismo","Miguel Cal├│ / Instr.","TangoSparks; TangoTimeTravel","2","0:02:46; 0:02:50"
"Lonjazos","Rodolfo Biagi / Carlos Acu├▒a","TangoTimeTravel; TangoTunes","2","0:02:31; 0:02:39"
"El irresistible","Rodolfo Biagi / Instr.","TangoTimeTravel; TangoTunes","2","0:02:31; 0:02:39"
"Quiero verte una vez m├ís","Rodolfo Biagi / Jorge Ortiz","TangoTimeTravel; TangoTunes","2","0:02:32; 0:03:03"
